Title,Duration,Score,Year
The Sound of Music,2h 52m,8.1,1965
The Handmaiden,2h 25m,8.1,2016
My Father and My Son,1h 52m,8.2,2005
Into the Wild,2h 28m,8.1,2007
To Be or Not to Be,1h 39m,8.1,1942
The Battle of Algiers,2h 1m,8.1,1966
The Grapes of Wrath,2h 9m,8.1,1940
Groundhog Day,1h 41m,8.0,1993
Amores Perros,2h 34m,8.1,2000
The Iron Giant,1h 26m,8.1,1999
Rebecca,2h 10m,8.1,1940
Cool Hand Luke,2h 7m,8.1,1967
The Help,2h 26m,8.1,2011
It Happened One Night,1h 45m,8.1,1934
Aladdin,1h 30m,8.0,1992
Dances with Wolves,3h 1m,8.0,1990
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,1h 57m,8.2,2020
Drishyam,2h 43m,8.2,2015
